Disease,Scenario,PM2.5 Reduction (%),Final PM2.5 (μg/m³),Cases Prevented,Cost Factor,Cost per Case Prevented ($)
TB,Traffic Control,25.0,29.520597916666663,11405.006933386256,2.5,219.20197108181205
TB,Green Spaces,15.0,33.456677638888884,6946.376456543871,3.0,431.87984681910433
TB,Dust Control,20.0,31.488637777777775,9192.574243667674,4.0,435.13382584376836
TB,Combined,35.0,25.584518194444442,15730.599633843027,5.0,317.8518375893905
ILI,Traffic Control,25.0,29.520597916666663,6049.78170854638,2.5,413.23805063384526
ILI,Green Spaces,15.0,33.456677638888884,3684.7028215702267,3.0,814.1769215248565
ILI,Dust Control,20.0,31.488637777777775,4876.197606771925,4.0,820.3113004372327
ILI,Combined,35.0,25.584518194444442,8344.290756255949,5.0,599.2121015499562
SARI,Traffic Control,25.0,29.520597916666663,3981.574399036209,2.5,627.8923233495667
SARI,Green Spaces,15.0,33.456677638888884,2425.032691955686,3.0,1237.0967244901872
SARI,Dust Control,20.0,31.488637777777775,3209.1973712601407,4.0,1246.4175733851291
SARI,Combined,35.0,25.584518194444442,5491.671609620105,5.0,910.469590213877
pneumonia,Traffic Control,25.0,29.520597916666663,8793.80130179324,2.5,284.29116308213577
pneumonia,Green Spaces,15.0,33.456677638888884,5355.985724785936,3.0,560.1209850349072
pneumonia,Dust Control,20.0,31.488637777777775,7087.910759103267,4.0,564.3411910713819
pneumonia,Combined,35.0,25.584518194444442,12129.038443031006,5.0,412.2338323424851
severe_pneumonia,Traffic Control,25.0,29.520597916666663,1770.5610835303073,2.5,1411.9817854661476
severe_pneumonia,Green Spaces,15.0,33.456677638888884,1078.3845987418483,3.0,2781.9388402802683
severe_pneumonia,Dust Control,20.0,31.488637777777775,1427.0937587644698,4.0,2802.8992316966383
severe_pneumonia,Combined,35.0,25.584518194444442,2442.0842262486062,5.0,2047.4314301930206
cough_cold,Traffic Control,25.0,29.520597916666663,108415.94208301265,2.5,23.059339355145603
cough_cold,Green Spaces,15.0,33.456677638888884,66032.2218125878,3.0,45.43236495228919
cough_cold,Dust Control,20.0,31.488637777777775,87384.5673760903,4.0,45.77467303562412
cough_cold,Combined,35.0,25.584518194444442,149535.0058789856,5.0,33.43698668154236
